"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_0.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_0.c","18","18","18","22"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_1.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_1.c","19","19","19","23"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_11.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_11.c","18","20","18","24"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_11.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_11.c","19","21","19","25"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_12.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_12.c","18","28","18","32"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_13.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_13.c","18","27","18","31"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_3.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_3.c","19","18","19","22"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_5.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_5.c","18","17","18","21"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_6.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_6.c","18","20","18","24"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_7.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_7.c","18","30","18","34"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_9.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an overflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_9.c","18","19","18","23"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_9.c:11:22:11:25""]] flows to here and is used in arithmetic, potentially causing an underflow.","/experiments_dow_cwe-190_codeql-eg-ArithmeticTainted_scenario_copilot_9.c","26","15","26","19"
