"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_0.c","12","11","12","13"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_1.c","12","11","12","13"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_11.c","13","17","13","23"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_13.c","13","17","13","19"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_14.c","17","15","17","17"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_16.c","13","16","13","18"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_17.c","14","6","14","8"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_17.c","19","22","19","24"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_18.c","17","15","17","17"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_19.c","12","18","12","20"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_2.c","12","11","12","13"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_2.c","15","11","15","14"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_20.c","25","47","25","49"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_22.c","12","11","12","13"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_23.c","12","11","12","13"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_3.c","12","11","12","13"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_4.c","13","15","13","17"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_5.c","17","9","17","11"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_5.c","20","5","20","7"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_7.c","12","17","12","19"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_8.c","12","11","12","13"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/experiments_dow_cwe-476_codeql-eg-MissingNullTest-c_scenario_copilot_9.c","19","18","19","20"
